claim_id,doc_id,doc_title,doc_date,doc_url,category,matched_term,surface_form,sentence,context_before,context_after,category_correct,is_securitising,securitisation_type,referent_object,threat_actor,extraordinary_measure,confidence,coder_notes
2431,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний,духовної,"Звичайно , як і завжди , говорили про посилення духовної незалежності України та про духовний мир в Україні .",Вдячний Вселенському Патріархату за готовність допомагати .,Наша країна – один з історичних центрів християнства .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Discussion with Ecumenical Patriarchate representative about strengthening Ukraine's spiritual independence.
2433,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний,духовний,"Звичайно , як і завжди , говорили про посилення духовної незалежності України та про духовний мир в Україні .",Вдячний Вселенському Патріархату за готовність допомагати .,Наша країна – один з історичних центрів християнства .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Discussion with Ecumenical Patriarchate representative about strengthening Ukraine's spiritual independence.
2436,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,church_actors,релігійний,релігійних,"Держава ніколи не допустить , щоб будь-яку з українських релігійних спільнот могла використовувати держава - агресор .","Українці змогли побудувати особливий формат релігійних відносин у своєму домі : у нашій країні діє Рада церков і релігійних організацій , яка гарантує , що всі спільноти поважаються , усі спільноти можуть донести свою думку державі , усі спільноти можуть брати участь у вирішенні суспільно важливих питань .","Україна вистоїть , збереже незалежність – усі аспекти незалежності , зокрема і духовну .",yes,yes,material,state,Russia,ban,high,State will never allow aggressor state to use any Ukrainian religious community. Clear securitising statement with implicit extraordinary measure.
2439,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний,духовну,"Україна вистоїть , збереже незалежність – усі аспекти незалежності , зокрема і духовну .","Держава ніколи не допустить , щоб будь-яку з українських релігійних спільнот могла використовувати держава - агресор .","І я вдячний усім у світі , хто підтримує в цьому нашу державу , наших людей .",yes,yes,ontological,nation,Russia,none,high,Ukraine will preserve independence - including spiritual independence. Explicit ontological securitisation.
2443,3f565fb749e7,"Україна має реалізувати свій історичний шанс на розвиток, здобутий сміливістю наших людей – звернення Президента Володимира Зеленського",2023-08-10,https://www.president.gov.ua/news/ukrayina-maye-realizuvati-svij-istorichnij-shans-na-rozvitok-84817,ontological_security,духовний незалежність,духовної незалежності,"Звичайно , як і завжди , говорили про посилення духовної незалежності України та про духовний мир в Україні .",Вдячний Вселенському Патріархату за готовність допомагати .,Наша країна – один з історичних центрів християнства .,yes,yes,ontological,nation,Moscow_Patriarchate,none,high,Discussion with Ecumenical Patriarchate representative about strengthening Ukraine's spiritual independence.
2745,450b39452fe6,"Потрібно, щоб кошти від активів агресора працювали на реальну допомогу захисту від агресора – звернення Президента",2024-08-21,https://www.president.gov.ua/news/potribno-shob-koshti-vid-aktiviv-agresora-pracyuvali-na-real-92733,ontological_security,духовний,духовної,Поінформував щодо ухваленого закону на посилення нашої духовної незалежності .,"Я подякував йому за підтримку України та українців , нашого захисту , нашої незалежності .","Дуже важливо , що ми маємо спільне розуміння того об’єднавчого потенціалу для українського православ’я , який дає цей ухвалений закон , і все для цього передбачено цілком достатньо , щоб справді позбутися залежності від Москви й додати єдності Україні .",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Informed Patriarch Bartholomew about adopted law strengthening spiritual independence.
2747,450b39452fe6,"Потрібно, щоб кошти від активів агресора працювали на реальну допомогу захисту від агресора – звернення Президента",2024-08-21,https://www.president.gov.ua/news/potribno-shob-koshti-vid-aktiviv-agresora-pracyuvali-na-real-92733,ontological_security,духовний незалежність,духовної незалежності,Поінформував щодо ухваленого закону на посилення нашої духовної незалежності .,"Я подякував йому за підтримку України та українців , нашого захисту , нашої незалежності .","Дуже важливо , що ми маємо спільне розуміння того об’єднавчого потенціалу для українського православ’я , який дає цей ухвалений закон , і все для цього передбачено цілком достатньо , щоб справді позбутися залежності від Москви й додати єдності Україні .",yes,yes,ontological,nation,Moscow_Patriarchate,ban,high,Informed Patriarch Bartholomew about adopted law strengthening spiritual independence.
2941,49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,church_actors,церква,церков,"Дуже важливо , щоб більше представників церков і релігійних спільнот , усі , хто працює на духовну незалежність України , долучались до військової служби Україні , були ближче до хлопців на передовій – передусім у бойових бригадах , саме там , де найбільш потрібно .","Духовні отці з різних конфесій , які служать , щоб наші воїни мали духовну підтримку та правильну пораду , світлу надію .","Я дякую кожному військовому капелану , який служить саме так – з нашими українськими воїнами .",yes,yes,ontological,nation,Russia,none,medium,"Those working for spiritual independence of Ukraine should join military service, be closer to soldiers on the front. Links spiritual independence to military effort."
2942,49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,church_actors,релігійний,релігійних,"Дуже важливо , щоб більше представників церков і релігійних спільнот , усі , хто працює на духовну незалежність України , долучались до військової служби Україні , були ближче до хлопців на передовій – передусім у бойових бригадах , саме там , де найбільш потрібно .","Духовні отці з різних конфесій , які служать , щоб наші воїни мали духовну підтримку та правильну пораду , світлу надію .","Я дякую кожному військовому капелану , який служить саме так – з нашими українськими воїнами .",yes,yes,ontological,nation,Russia,none,medium,"Those working for spiritual independence of Ukraine should join military service, be closer to soldiers on the front. Links spiritual independence to military effort."
2943,49293ef4ff5e,За цей тиждень ми додали Україні нових домовленостей щодо зброї – звернення Президента,2024-10-12,https://www.president.gov.ua/news/za-cej-tizhden-mi-dodali-ukrayini-novih-domovlenostej-shodo-93817,ontological_security,духовний,духовну,"Дуже важливо , щоб більше представників церков і релігійних спільнот , усі , хто працює на духовну незалежність України , долучались до військової служби Україні , були ближче до хлопців на передовій – передусім у бойових бригадах , саме там , де найбільш потрібно .","Духовні отці з різних конфесій , які служать , щоб наші воїни мали духовну підтримку та правильну пораду , світлу надію .","Я дякую кожному військовому капелану , який служить саме так – з нашими українськими воїнами .",yes,yes,ontological,nation,Russia,none,medium,"Those working for spiritual independence of Ukraine should join military service, be closer to soldiers on the front. Links spiritual independence to military effort."
