url,title
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-101729","Заява Президента України під час спільного з Прем’єр-міністром Ірландії спілкування з журналістами"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-prezidentom-f-101693","Заява Президента України під час спільного з Президентом Франції спілкування з журналістами"
"https://www.president.gov.ua/news/rosiya-duzhe-hoche-shob-ukrayina-robila-pomilki-z-nashogo-bo-101653","Росія дуже хоче, щоб Україна робила помилки; з нашого боку помилок не буде – звернення Президента"
"https://www.president.gov.ua/news/zaraz-odnakovo-vazhlivi-nash-zahist-pozicij-nash-sprotiv-na-101645","Зараз однаково важливі наш захист позицій, наш спротив на фронті й спільна з партнерами робота заради кращих дипломатичних позицій – звернення Президента"
"https://www.president.gov.ua/news/shodennij-bojovij-rezultat-ukrayinskoyi-armiyi-nashih-specia-101621","Щоденний бойовий результат української армії, наших спеціальних служб, наших дипстрайків – це доказ, що Україна може захищати свої інтереси – звернення Президента"
"https://www.president.gov.ua/news/bagato-zalezhit-vid-ameriki-bo-same-na-amerikansku-silu-v-ro-101609","Багато залежить від Америки, бо саме на американську силу в Росії зважають найбільше – звернення Президента"
"https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-zasidannya-koaliciyi-oho-101597","Звернення Президента до учасників засідання Коаліції охочих"
"https://www.president.gov.ua/news/ukrayina-nikoli-ne-bude-pereponoyu-dlya-miru-zvernennya-prez-101581","Україна ніколи не буде перепоною для миру – звернення Президента"
"https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-parlamentskogo-samitu-mi-101561","Звернення Президента до учасників парламентського саміту міжнародної Кримської платформи"
"https://www.president.gov.ua/news/rozmova-z-amerikanskimi-predstavnikami-ye-i-ye-signali-sho-k-101553","Розмова з американськими представниками є, і є сигнали, що команда Президента Трампа чує нас – звернення Президента України"
"https://www.president.gov.ua/news/nashi-predstavniki-znayut-yak-zahishati-ukrayinski-nacionaln-101521","Наші представники знають, як захищати українські національні інтереси й що саме потрібно, щоб Росія не здійснила третє вторгнення – звернення Президента"
"https://www.president.gov.ua/news/yednist-potribna-nam-yak-nikoli-abi-v-nashomu-domi-buv-dosto-101493","Єдність потрібна нам як ніколи, аби в нашому домі був достойний мир – звернення Президента"
"https://www.president.gov.ua/news/americi-po-silah-zrobiti-tak-shob-rosijska-nalashtovanist-na-101481","Америці по силах зробити так, щоб російська налаштованість на закінчення війни нарешті стала серйозною – звернення Президента"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-prezidentom-t-101465","Заява Президента України під час спільного з Президентом Туреччини спілкування з журналістами"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-101437","Заява Президента України під час спільного з Прем’єр-міністром Іспанії спілкування з журналістами"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-prezidentom-f-101401","Заява Президента України під час спільного з Президентом Франції спілкування з журналістами"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-101385","Заява Президента України під час спільного з Премʼєр-міністром Греції спілкування з журналістами"
"https://www.president.gov.ua/news/zhodnogo-dnya-mi-ne-vtrachayemo-dlya-nashoyi-derzhavi-vzhe-n-101369","Жодного дня ми не втрачаємо для нашої держави, вже на сьогодні підготували домовленість із Грецією по газу для України – звернення Президента"
"https://www.president.gov.ua/news/sogodni-vzhe-startuvala-nasha-programa-zimovoyi-pidtrimki-i-101365","Сьогодні вже стартувала наша програма зимової підтримки, і за перші 2 години прийому заявок було вже пів мільйона заявок — звернення Президента"
"https://www.president.gov.ua/news/ukrayina-maye-robiti-vse-shob-zhoden-rosijskij-udar-ne-zalis-101357","Україна має робити все, щоб жоден російський удар не залишався безкарним – звернення Президента"
"https://www.president.gov.ua/news/zavtra-provedu-stavku-shodo-same-cogo-regionu-same-po-zahist-101329","Завтра проведу Ставку щодо саме цього регіону, саме по захисту Запоріжжя та по всіх піднятих питаннях – звернення Президента"
"https://www.president.gov.ua/news/povinna-buti-maksimalna-chistota-v-energetici-vsih-procesiv-101297","Повинна бути максимальна чистота в енергетиці, всіх процесів абсолютно – звернення Президента"
"https://www.president.gov.ua/news/viznachili-sho-treba-dati-hersonu-shob-bulo-bilshe-zahistu-z-101281","Визначили, що треба дати Херсону, щоб було більше захисту – звернення Президента"
"https://www.president.gov.ua/news/mi-gotuyemo-ugodi-z-kilkoma-yevropejskimi-krayinami-v-tomu-c-101273","Ми готуємо угоди з кількома європейськими країнами, в тому числі на посилення нашого захисту неба й нашої енергетики – звернення Президента"
"https://www.president.gov.ua/news/povinno-buti-znachno-bilshe-tisku-na-vsi-shemi-yaki-dozvolya-101257","Повинно бути значно більше тиску на всі схеми, які дозволяють працювати російському воєнному виробництву – звернення Президента"
"https://www.president.gov.ua/news/tisku-na-rosiyu-zamalo-i-bud-yaki-poslablennya-v-uzhe-isnuyu-101241","Тиску на Росію замало, і будь-які послаблення в уже існуючих форматах тиску тільки мотивують Путіна затягувати війну — звернення Президента"
"https://www.president.gov.ua/news/budemo-zbilshuvati-finansuvannya-brigadam-korpusam-yaki-na-p-101213","Будемо збільшувати фінансування бригадам, корпусам, які на першій лінії, в найбільш гарячих боях – звернення Президента"
"https://www.president.gov.ua/news/listopad-maye-prinesti-ne-menshe-rezultativ-iz-partnerami-ni-101185","Листопад має принести не менше результатів із партнерами, ніж дав жовтень – звернення Президента"
"https://www.president.gov.ua/news/doruchiv-zbilshiti-finansuvannya-korpusiv-na-klyuchovih-napr-101153","Доручив збільшити фінансування корпусів на ключових напрямках, обговорив це з командуванням – звернення Президента"
"https://www.president.gov.ua/news/ye-horoshij-rezultat-dlya-nashoyi-ppo-ukrayina-maye-teper-bi-101105","Є хороший результат для нашої ППО – Україна має тепер більше «петріотів» – звернення Президента"
"https://www.president.gov.ua/news/doruchiv-uryadu-sformuvati-dostatno-znachimij-paket-program-101101","Доручив уряду сформувати достатньо значимий пакет програм, які запрацюють уже в грудні, – зимову підтримку – звернення Президента"
"https://www.president.gov.ua/news/pracyuyemo-shob-buli-dlya-ukrayini-horoshi-novini-i-ce-bude-101089","Працюємо, щоб були для України хороші новини, і це буде – звернення Президента"
"https://www.president.gov.ua/news/ye-pershi-detali-shodo-efektu-amerikanskih-ta-yevropejskih-s-101073","Є перші деталі щодо ефекту американських та європейських санкцій проти російських нафтових компаній, і це доволі відчутно – звернення Президента"
"https://www.president.gov.ua/news/rosiya-povinna-zakinchiti-svoyu-vijnu-inakshe-maye-zakinchit-101065","Росія повинна закінчити свою війну, інакше має закінчитися російський нафтовий експорт – звернення Президента"
"https://www.president.gov.ua/news/vsi-zavdannya-shodo-dipstrajkiv-do-kincya-roku-mayut-buti-po-101033","Всі завдання щодо дипстрайків до кінця року мають бути повністю реалізовані, і це включає також розширення географії нашої далекобійності – звернення Президента"
"https://www.president.gov.ua/news/tilki-za-odin-cej-tizhden-rosiyani-zastosuvali-proti-ukrayin-101025","Тільки за один цей тиждень росіяни застосували проти України майже 1200 ударних дронів і вже 50 ракет різних типів – звернення Президента"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-liderami-kray-101021","Заява Президента України під час спільного з лідерами країн Коаліції охочих та Генсеком НАТО спілкування з журналістами"
"https://www.president.gov.ua/news/vistup-prezidenta-ukrayini-na-zasidanni-lideriv-krayin-koali-101005","Виступ Президента України на засіданні лідерів країн Коаліції охочих"
"https://www.president.gov.ua/news/ye-politichna-gotovnist-yevropi-napraviti-zamorozheni-rosijs-101009","Є політична готовність Європи направити заморожені російські активи на повноцінну підтримку України – звернення Президента"
"https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-zasidannya-yevropejskoyi-100925","Звернення Президента до учасників засідання Європейської ради"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-100905","Заява Президента України під час спільного з Прем’єр-міністром Швеції спілкування з представниками медіа"
"https://www.president.gov.ua/news/liniya-frontu-mozhe-buti-pochatkom-diplomatiyi-zvernennya-pr-100889","Лінія фронту може бути початком дипломатії – звернення Президента"
"https://www.president.gov.ua/news/pracyuyemo-z-amerikoyu-shob-use-zh-taki-ukrayina-mogla-otrim-100881","Працюємо з Америкою, щоб усе ж таки Україна могла отримати необхідну кількість систем «Петріот» – звернення Президента"
"https://www.president.gov.ua/news/gotuyemo-pevni-nashi-kroki-na-fronti-ta-vidpovidayemo-rosiya-100873","Готуємо певні наші кроки на фронті та відповідаємо росіянам на кожен їхній удар – звернення Президента"
"https://www.president.gov.ua/news/taki-rechi-yak-petrioti-j-tomagavki-zdatni-zaklasti-dovgotri-100825","Такі речі, як «петріоти» й «томагавки», здатні закласти довготривалий фундамент миру – звернення Президента"
"https://www.president.gov.ua/news/odesa-zaslugovuye-na-bilshij-zahist-i-bilshu-pidtrimku-ce-mo-100809","Одеса заслуговує на більший захист і більшу підтримку; це можна зробити у форматі військової адміністрації – звернення Президента"
"https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-71-yi-shorichnoyi-sesiyi-100777","Звернення Президента до учасників 71-ї щорічної сесії Парламентської асамблеї НАТО"
"https://www.president.gov.ua/news/mi-bachimo-ta-chuyemo-sho-rosiya-boyitsya-sho-amerikanci-moz-100773","Ми бачимо та чуємо, що Росія боїться, що американці можуть дати нам «томагавки», і це сигнал, що саме такий тиск може спрацювати для миру – звернення Президента"
"https://www.president.gov.ua/news/sogodni-ya-otrimav-neobhidni-signali-sho-amerika-rozglyadaye-100761","Сьогодні я отримав необхідні сигнали, що Америка розглядає можливості посилити нашу співпрацю – звернення Президента"
"https://www.president.gov.ua/news/vidpovid-na-rosijskij-teror-mozhe-buti-lishe-odna-bilshe-sil-100733","Відповідь на російський терор може бути лише одна: більше сили, ППО та тиску на Росію, щоб вони реально відповідали за все – звернення Президента"
"https://www.president.gov.ua/news/zavdannya-zaraz-buti-znachno-aktivnishimi-v-usomu-sho-stosuy-100713","Завдання зараз – бути значно активнішими в усьому, що стосується підготовки та виконання далекобійних санкцій проти Росії – звернення Президента"
"https://www.president.gov.ua/news/vid-pochatku-dobropilskoyi-kontrnastupalnoyi-operaciyi-j-do-100685","Від початку Добропільської контрнаступальної операції й до сьогодні росіяни мають уже більш ніж 12 тисяч втрат – звернення Президента"
"https://www.president.gov.ua/news/na-cyu-zimu-zberezhemo-fiksovanu-cinu-na-gaz-dlya-pobutovih-100673","На цю зиму збережемо фіксовану ціну на газ для побутових споживачів, підвищень ціни газу не буде – звернення Президента"
"https://www.president.gov.ua/news/dav-chitki-zavdannya-shodo-elektriki-shodo-obyektiv-generaci-100653","Дав чіткі завдання щодо електрики – щодо об’єктів генерації та додаткового обладнання на зиму; збільшуємо запаси обладнання – звернення Президента"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-100637","Заява Президента України під час спільного з Прем’єр-міністром Нідерландів спілкування з журналістами"
"https://www.president.gov.ua/news/mi-mayemo-zrobiti-cinu-vijni-dlya-agresora-absolyutno-neprij-100625","Ми маємо зробити ціну війни для агресора абсолютно неприйнятною і зробимо це – виступ Президента на міжнародному Форумі оборонних індустрій"
"https://www.president.gov.ua/news/rosiya-vidverto-namagayetsya-znishiti-nashu-civilnu-infrastr-100613","Росія відверто намагається знищити нашу цивільну інфраструктуру і саме зараз, перед зимою – звернення Президента"
"https://www.president.gov.ua/news/neprosta-situaciya-z-elektrikoyu-pislya-udariv-ale-maksimum-100597","Непроста ситуація з електрикою після ударів, але максимум робиться, щоб відновити постачання – звернення Президента"
"https://www.president.gov.ua/news/rosiya-obiraye-vijnu-rujnuye-zhittya-nashih-lyudej-i-povinna-100589","Росія обирає війну, руйнує життя наших людей і повинна за це відповідати – далекобійність наша буде збільшуватись – звернення Президента"
"https://www.president.gov.ua/news/zayava-prezidenta-ukrayini-pid-chas-spilnogo-z-premyer-minis-100569","Заява Президента України під час спільного з Прем’єр-міністеркою Данії спілкування з журналістами"
"https://www.president.gov.ua/news/zvernennya-prezidenta-ukrayini-do-uchasnikiv-somogo-samitu-y-100529","Звернення Президента України до учасників сьомого саміту Європейської політичної спільноти"
"https://www.president.gov.ua/news/vazhlivo-bezposeredno-vidpovidati-rosiyi-shob-voni-vidchuli-100513","Важливо безпосередньо відповідати Росії, щоб вони відчули справжню ціну своїх дій – звернення Президента до учасників засідання Європейської ради"
"https://www.president.gov.ua/news/zvernennya-prezidenta-z-nagodi-prisvoyennya-pochesnoyi-vidzn-100481","Звернення Президента з нагоди присвоєння почесної відзнаки «Місто-герой України» 16 містам"
"https://www.president.gov.ua/news/zvernennya-prezidenta-z-nagodi-dnya-zahisnikiv-i-zahisnic-uk-100473","Звернення Президента з нагоди Дня захисників і захисниць України"
"https://www.president.gov.ua/news/uzhe-somij-den-ranishe-ne-bulo-takogo-avarijna-situaciya-na-100469","Уже сьомий день – раніше не було такого – аварійна ситуація на Запорізькій атомній станції – звернення Президента"
"https://www.president.gov.ua/news/planuyemo-kontrakti-ta-virobnictvo-tak-shob-nashi-arsenali-b-100449","Плануємо контракти та виробництво так, щоб наші арсенали були достатньо наповнені – звернення Президента"
"https://www.president.gov.ua/news/majzhe-vsi-zagrozi-bezpeci-u-yevropi-sogodni-jdut-vid-rujniv-100425","Майже всі загрози безпеці у Європі сьогодні йдуть від руйнівних дій Росії – виступ Президента України на Варшавському безпековому форумі"
"https://www.president.gov.ua/news/osoblivo-vazhlivo-shob-sankciyi-bolisno-vdarili-po-rosijskij-100417","Особливо важливо, щоб санкції болісно вдарили по російській торгівлі енергоресурсами, по всій інфраструктурі танкерного флоту Росії – звернення Президента"
"https://www.president.gov.ua/news/putin-breshe-lideram-yaki-z-nim-dosi-she-rozmovlyayut-koli-k-100409","Путін бреше лідерам, які з ним досі ще розмовляють, коли каже, що окупаційний контингент досягає якихось там їхніх цілей – звернення Президента"
"https://www.president.gov.ua/news/vistup-prezidenta-na-pyatomu-samiti-mizhnarodnoyi-krimskoyi-100341","Виступ Президента на п’ятому саміті міжнародної Кримської платформи в Нью-Йорку"
"https://www.president.gov.ua/news/vistup-prezidenta-pid-chas-zagalnih-debativ-generalnoyi-asam-100349","Виступ Президента під час загальних дебатів Генеральної Асамблеї ООН у Нью-Йорку"
"https://www.president.gov.ua/news/vistup-prezidenta-pid-chas-zasidannya-visokogo-rivnya-radi-b-100305","Виступ Президента під час засідання високого рівня Ради Безпеки ООН щодо України"
"https://www.president.gov.ua/news/zvernennya-prezidenta-do-uchasnikiv-samitu-mizhnarodnoyi-koa-100285","Звернення Президента до учасників саміту Міжнародної коаліції за повернення українських дітей на рівні лідерів"
"https://www.president.gov.ua/news/vazhlivo-shob-tizhden-dodav-svitovi-nalashtovanosti-na-silni-100261","Важливо, щоб тиждень додав світові налаштованості на сильні дії – звернення Президента"
